Salario,Experiencia,Educacao,Gestao
13876,1,Bacharel,Sim
11608,1,Doutorado,Sim
18701,1,Doutorado,Sim
11283,1,Mestrado,Não
11767,1,Doutorado,Não
20872,2,Mestrado,Sim
11772,2,Mestrado,Não
10535,2,Bacharel,Não
12195,2,Doutorado,Não
12313,2,Mestrado,Não
14975,3,Bacharel,Sim
21371,3,Mestrado,Sim
19800,3,Doutorado,Sim
11417,4,Bacharel,Não
20263,4,Doutorado,Sim
13231,4,Doutorado,Não
12884,4,Mestrado,Não
13245,5,Mestrado,Não
15965,5,Bacharel,Sim
12336,6,Bacharel,Não
21352,6,Doutorado,Sim
13839,6,Mestrado,Não
16978,7,Bacharel,Sim
14803,7,Mestrado,Não
22184,8,Doutorado,Sim
13548,8,Bacharel,Não
14467,9,Bacharel,Não
15942,10,Mestrado,Não
23174,10,Doutorado,Sim
23780,10,Mestrado,Sim
